X,Y
6.508463388,7.768370097
6.156221749,7.997118492
6.156221749,7.997118492
6.156221749,7.997118492
6.156221749,7.997118492
6.156221749,7.997118492
6.156221749,7.997118492
6.156221749,7.997118492
11.99231448,5.023480719
8.803612343,7.996993569
8.803612343,7.996993569
4.002960987,6.710662915
6.889764633,7.995950707
11.99304554,4.150352709
4.007511715,6.141369909
4.007511715,6.141369909
5.168034904,7.99859524
4.001297528,6.948060188
4.001297528,6.948060188
4.362678179,7.997585807
4.362678179,7.997585807
4.362678179,7.997585807
4.362678179,7.997585807
4.352775498,7.998977538
4.352775498,7.998977538
4.000781597,6.685318414
4.000781597,6.685318414
11.99077812,5.7042702
6.587414628,7.997861924
6.587414628,7.997861924
6.587414628,7.997861924
4.000817402,6.253180065
4.000817402,6.253180065
4.000817402,6.253180065
4.000817402,6.253180065
4.000817402,6.253180065
4.000817402,6.253180065
4.532933904,7.993654721
4.532933904,7.993654721
4.532933904,7.993654721
4.54176338,7.998349437
4.54176338,7.998349437
4.54176338,7.998349437
4.54176338,7.998349437
9.09022452,1.502473726
9.09022452,1.502473726
9.080376443,1.500737244
2.502416876,4.998300386
11.99746775,2.454109173
7.97113877,7.995875585
7.980920246,7.997954702
7.980920246,7.997954702
7.980920246,7.997954702
3.549760317,0.003930578
3.549760317,0.003930578
3.540424513,0.000346899
4.380833358,7.996302938
4.380833358,7.996302938
4.371322792,7.999393107
4.004459494,7.645117339
4.004459494,7.645117339
4.004459494,7.645117339
11.58940408,1.502950322
11.99391258,1.796842948
8.877230203,11.99105165
8.906068054,11.99932077
8.906068054,11.99932077
11.99745146,8.565991674
11.99935955,8.556175402
9.008543848,9.950815665
9.00147278,9.957886733
9.54758096527278 1,1.995990227
6.66374931,11.00300736
3.193594587,11.99805821
3.193594587,11.99805821
3.193594587,11.99805821
3.193594587,11.99805821
0.005537849,78 11.886728815684643
0.993920467,10.99678511
0.999853381,10.82688867
0.002914816,256 11.291768756548821
0.460411605,11.99625203
0.460411605,11.99625203
0.460411605,11.99625203
0.460411605,11.99625203
0.460411605,11.99625203
0.008863101,55 11.908479895749759
0.102377275,2 11.998785483909424
4.428580362,11.0000028
6.894889416,11.99645634
6.894889416,11.99645634
5.171498862,11.00145634
11.99733821,11.2398199
11.99733821,11.2398199
11.99733821,11.2398199
11.99733821,11.2398199
9.00882737369504 1,0.494700465
9.00882737369504 1,0.494700465
10.50789375,11.99376684
10.51729068,11.99718704
7.454888694,11.00215232
7.454888694,11.00215232
7.454888694,11.00215232
7.454888694,11.00215232
7.612887503,11.99971754
7.612887503,11.99971754
7.612887503,11.99971754
7.612887503,11.99971754
4.351888285,11.00273003
4.351888285,11.00273003
4.351888285,11.00273003
4.361790966,11.0013383
0.007766195,49 11.229523069906925
0.994443446,10.87040192
0.007766195,88 11.229523069906925
0.007766195,88 11.229523069906925
0.007766195,88 11.229523069906925
0.997493384,8.3551466
0.997493384,8.3551466
0.005206149,035 9.772279636705191
1.031675659,0.006074624
0.000466939,389 0.9676923118769389
2.822463006,4.99792037
11.99102319,3.381255836
6.863323891,7.99825702
6.863323891,7.99825702
6.863323891,7.99825702
11.99857828,1.656745974
10.21538977,1.500737195
10.21538977,1.500737195
11.99511867,1.531802478
11.99804239,1.52223943
11.98465977,1.507376534
11.99340597,1.51222463
0.006266467,34 4.724168979882714
0.502776668,0.000189977
0.502776668,0.000189977
0.502776668,0.000189977
0.004171806,31 0.5737692578526866
0.004171806,31 0.5737692578526866
0.004171806,31 0.5737692578526866
0.004171806,31 0.5737692578526866
0.304633606,0.008682798
0.225071854,5 0.0003205213615604264
0.225071854,5 0.0003205213615604264
0.225071854,5 0.0003205213615604264
0.001394693,995 0.33193555038357697
0.001394693,995 0.33193555038357697
0.007153987,28 0.0019858109819677165
8.99520608,0.630491639
8.390853298,0.004666013
8.44066303255636 0,0.000308226
8.44066303255636 0,0.000308226
8.992155374,0.097551205
8.604037084,0.000782447
0.004127529,47 4.573435468772744
11.99831169,5.622790611
11.99831169,5.622790611
7.761533931,0.000396621
0.001678017,826 3.2942600338862786
3.070670637,0.003168377
0.000839624,126 0.43460498957619437
0.312365808,0.005825983
8.99454195417904 0,0.918359467
8.99454195417904 0,0.918359467
8.99454195417904 0,0.918359467
7.683898683,0.000637169
7.683898683,0.000637169
7.683898683,0.000637169
7.683898683,0.000637169
11.99889868,7.474436403
